,date_end,computed_threshold,thresholds,precisions,recalls,f1s,accuracies,exclusion_ratios,n_incorrectly_excluded
0,2022/10/29,0.0003128647949779,"0.0002542889560572803, 0.000261209235759452, 0.0001019386836560443, 0.0006517578149214387, 0.0002951292844954878","0.1346578366445916, 0.07899159663865546, 0.10102739726027397, 0.30952380952380953, 0.28837209302325584","1.0, 1.0, 1.0, 1.0, 1.0","0.23735408560311283, 0.14641744548286603, 0.18351477449455678, 0.4727272727272727, 0.4476534296028881","0.5160493827160494, 0.3234567901234568, 0.35185185185185186, 0.8566131025957973, 0.8108776266996292","0.44074074074074077, 0.2654320987654321, 0.27901234567901234, 0.792336217552534, 0.7342398022249691","0, 0, 0, 0, 0"
1,2022/11/05,0.0004929044167511,"0.0003429260978009552, 0.0002351705770706758, 0.001438138191588223, 0.00020447552378755063, 0.000243811693508178","0.17295597484276728, 0.23577235772357724, 0.4423076923076923, 0.1132404181184669, 0.1846590909090909","1.0, 1.0, 1.0, 1.0, 1.0","0.2949061662198391, 0.381578947368421, 0.6133333333333333, 0.20344287949921752, 0.3117505995203837","0.6827503015681544, 0.773220747889023, 0.9300361881785284, 0.3852657004830918, 0.6533816425120773","0.6164053075995175, 0.7032569360675512, 0.8745476477683957, 0.30676328502415456, 0.5748792270531401","0, 0, 0, 0, 0"
2,2022/11/12,0.0002940111095085,"0.00033797475043684244, 0.0001559077063575387, 0.0002757138281594962, 0.00033547484781593084, 0.00036498441477306187","0.28703703703703703, 0.14150943396226415, 0.10445468509984639, 0.2383177570093458, 0.12149532710280374","1.0, 1.0, 1.0, 1.0, 1.0","0.4460431654676259, 0.24793388429752064, 0.18915159944367174, 0.3849056603773585, 0.21666666666666667","0.816884661117717, 0.5666666666666667, 0.305952380952381, 0.805952380952381, 0.5523809523809524","0.7431629013079667, 0.49523809523809526, 0.225, 0.7452380952380953, 0.49047619047619045","0, 0, 0, 0, 0"
3,2022/11/19,0.000294490167289,"0.0005093999789096415, 0.00013643878628499806, 0.0004318125720601529, 0.00023486469581257552, 0.00015993480337783694","0.1701492537313433, 0.13464991023339318, 0.23507462686567165, 0.14560439560439561, 0.1","1.0, 1.0, 1.0, 1.0, 1.0","0.29081632653061223, 0.23734177215189875, 0.3806646525679759, 0.25419664268585135, 0.18181818181818182","0.6774941995359629, 0.4408352668213457, 0.7621809744779582, 0.6392111368909513, 0.4466357308584687","0.611368909512761, 0.3538283062645012, 0.6890951276102089, 0.5777262180974478, 0.3851508120649652","0, 0, 0, 0, 0"
4,2022/11/26,0.0002687580854399,"0.0002887762675527483, 0.00022727987379767, 0.000215496082091704, 0.0004488965787459165, 0.00016334162501152605","0.16080402010050251, 0.2011173184357542, 0.24302788844621515, 0.4041095890410959, 0.08571428571428572","1.0, 1.0, 1.0, 1.0, 1.0","0.27705627705627706, 0.33488372093023255, 0.391025641025641, 0.5756097560975609, 0.15789473684210528","0.6230248306997742, 0.6772009029345373, 0.7853107344632768, 0.9016949152542373, 0.38531073446327685","0.5507900677200903, 0.5959367945823928, 0.7163841807909604, 0.8350282485875706, 0.327683615819209","0, 0, 0, 0, 0"
5,2022/12/03,0.0003525159234413,"0.0005263494094833732, 0.00029425128013826907, 0.000214248793781735, 0.0004223532450851053, 0.00030537688871845603","0.18397626112759644, 0.21739130434782608, 0.07493857493857493, 0.19817073170731708, 0.10666666666666667","1.0, 1.0, 1.0, 1.0, 1.0","0.31077694235588976, 0.3571428571428571, 0.13942857142857143, 0.33078880407124683, 0.1927710843373494","0.6944444444444444, 0.76, 0.16333333333333333, 0.7077777777777777, 0.40378197997775306","0.6255555555555555, 0.6933333333333334, 0.09555555555555556, 0.6355555555555555, 0.3325917686318131","0, 0, 0, 0, 0"
6,2022/12/10,0.0003046957455808,"0.0002595271507743746, 0.0003489039954729378, 0.0005113260704092681, 0.00013716054672840983, 0.000266560964519158","0.23547400611620795, 0.2967032967032967, 0.43537414965986393, 0.08131241084165478, 0.12974051896207583","1.0, 1.0, 1.0, 1.0, 1.0","0.3811881188118812, 0.4576271186440678, 0.6066350710900473, 0.1503957783641161, 0.22968197879858654","0.726775956284153, 0.8599562363238512, 0.9091903719912473, 0.29540481400437635, 0.5229759299781181","0.6426229508196721, 0.8008752735229759, 0.8391684901531729, 0.23304157549234136, 0.45185995623632386","0, 0, 0, 0, 0"
7,2022/12/17,0.0004580491280648,"0.000759532384108752, 0.00011220382293686271, 0.0004444792866706848, 0.0004896628670394421, 0.0004843672795686871","0.40217391304347827, 0.1064891846921797, 0.3251231527093596, 0.20348837209302326, 0.2838709677419355","1.0, 1.0, 1.0, 1.0, 1.0","0.5736434108527132, 0.1924812030075188, 0.4907063197026022, 0.33816425120772947, 0.4422110552763819","0.8817204301075269, 0.42258064516129035, 0.8526881720430107, 0.7053763440860215, 0.8805166846071044","0.8021505376344086, 0.35376344086021505, 0.7817204301075269, 0.6301075268817204, 0.8331539289558665","0, 0, 0, 0, 0"
8,2022/12/24,0.0002416643721517,"0.0003667173150461167, 0.0002752520958893001, 0.00030868101748637855, 0.00013042447972111404, 0.0001272469526156783","0.10329341317365269, 0.28708133971291866, 0.18387096774193548, 0.09002770083102493, 0.1038961038961039","1.0, 1.0, 1.0, 1.0, 1.0","0.18724559023066484, 0.44609665427509293, 0.3106267029972752, 0.16518424396442186, 0.18823529411764706","0.37013669821240797, 0.843322818086225, 0.7339642481598317, 0.30842105263157893, 0.3463157894736842","0.29758149316508936, 0.7802313354363828, 0.6740273396424816, 0.24, 0.27052631578947367","0, 0, 0, 0, 0"
9,2022/12/31,0.0002219466870883,"0.0003478194703347981, 0.00017241365276277065, 0.00031439511803910136, 0.00015493434329982847, 0.00012017085100524127","0.26200873362445415, 0.14351851851851852, 0.24621212121212122, 0.09308510638297872, 0.12099644128113879","1.0, 1.0, 1.0, 1.0, 1.0","0.4152249134948097, 0.25101214574898784, 0.3951367781155016, 0.170316301703163, 0.21587301587301586","0.8239583333333333, 0.6145833333333334, 0.7927083333333333, 0.28958333333333336, 0.4848800834202294","0.7614583333333333, 0.55, 0.725, 0.21666666666666667, 0.41397288842544316","0, 0, 0, 0, 0"
